male,age,juv_fel_count,juv_misd_count,juv_other_count,priors_count,age_at_first_arrest,marital_status,slevel,rs_fta,rs_grecid,rs_vrecid,ds_fta,ds_grecid,ds_vrecid,fta_text,grecid_text,vrecid_text
1,38,0,0,2,5,18,Single,1,17.0,-0.81,-2.19,2,3,4,Low,Low,Low
1,53,0,0,0,19,25,Single,1,29.0,-0.46,-2.59,8,5,2,High,Medium,Low
1,49,0,0,0,7,30,Single,1,20.0,-0.82,-2.81,3,3,2,Low,Low,Low
1,26,0,0,2,6,26,Single,4,16.0,0.1,-1.18,2,8,8,Low,High,High
0,33,0,0,0,4,23,Single,1,16.0,-0.73,-2.67,2,5,2,Low,Medium,Low
1,24,0,0,0,1,22,Significant Other,1,15.0,-1.23,-2.49,1,2,3,Low,Low,Low
1,34,2,1,3,21,18,Single,3,25.0,0.32,-1.55,6,9,6,Medium,High,Medium
1,29,0,0,0,0,26,Single,1,14.0,-1.08,-2.62,1,2,2,Low,Low,Low
0,21,0,0,0,2,18,Single,4,20.0,0.03,-1.16,4,8,8,Low,High,High
1,51,0,0,0,2,44,Single,1,15.0,-1.77,-3.6,1,1,1,Low,Low,Low
1,36,0,0,0,0,36,Significant Other,1,11.0,-1.97,-3.41,1,1,1,Low,Low,Low
1,29,0,0,0,2,24,Married,1,18.0,-1.33,-2.78,3,2,2,Low,Low,Low
1,25,0,0,0,0,22,Single,2,13.0,-0.25,-1.35,1,6,7,Low,Medium,Medium
0,51,0,0,0,7,26,Separated,1,16.0,-1.32,-2.82,2,2,2,Low,Low,Low
1,28,0,0,0,8,20,Single,2,17.0,-0.01,-1.98,2,7,4,Low,Medium,Low
1,36,0,0,0,22,18,Married,4,37.0,0.58,-0.31,10,9,10,High,High,High
1,29,0,0,0,0,27,Single,2,19.0,-0.06,-2.8,3,7,2,Low,Medium,Low
1,29,0,0,0,0,28,Single,1,14.0,-1.55,-2.9,1,1,2,Low,Low,Low
1,25,0,0,0,9,18,Single,4,18.0,1.07,-0.77,3,10,9,Low,High,High
1,35,1,0,4,13,18,Significant Other,3,23.0,0.1,-2.54,5,8,3,Medium,High,Low
1,49,0,0,0,0,46,Married,1,11.0,-2.43,-3.94,1,1,1,Low,Low,Low
1,34,0,0,0,4,27,Single,1,17.0,-0.94,-2.64,2,3,2,Low,Low,Low
1,29,0,0,0,0,27,Significant Other,1,13.0,-0.59,-2.41,1,4,3,Low,Low,Low
1,29,0,0,0,1,27,Single,1,12.0,-1.22,-2.86,1,2,2,Low,Low,Low
0,28,0,0,0,0,26,Single,1,12.0,-1.45,-2.71,1,2,2,Low,Low,Low
1,51,0,0,0,0,50,Single,1,21.0,-1.08,-3.21,4,2,1,Low,Low,Low
1,25,0,0,0,0,24,Single,1,17.0,-0.98,-2.35,2,3,3,Low,Low,Low
1,48,0,0,0,20,20,Single,2,21.0,-0.27,-2.13,4,6,4,Low,Medium,Low
1,33,0,0,0,1,31,Single,4,32.0,0.42,-0.45,9,9,10,High,High,High
0,63,0,0,0,1,61,Widowed,1,13.0,-2.51,-4.23,1,1,1,Low,Low,Low
1,30,0,0,1,3,21,Single,2,18.0,-0.28,-2.21,3,6,4,Low,Medium,Low
1,31,0,0,1,15,18,Single,2,25.0,-0.43,-1.45,6,5,7,Medium,Medium,Medium
1,24,0,0,0,2,20,Single,1,12.0,-0.6,-2.04,1,4,4,Low,Low,Low
1,27,0,0,0,0,27,Single,1,16.0,-0.46,-2.51,2,5,3,Low,Medium,Low
1,32,0,0,0,3,22,Single,3,15.0,0.09,-2.71,1,8,2,Low,High,Low
1,30,0,0,0,0,27,Single,2,15.0,-0.01,-2.36,1,7,3,Low,Medium,Low
1,49,0,0,0,4,47,Married,1,13.0,-2.05,-3.38,1,1,1,Low,Low,Low
1,53,0,0,0,8,27,Single,1,16.0,-0.51,-2.93,2,5,2,Low,Medium,Low
0,31,0,0,0,0,30,Single,1,11.0,-1.84,-3.18,1,1,1,Low,Low,Low
1,35,0,0,0,5,22,Significant Other,1,14.0,-0.93,-2.94,1,3,2,Low,Low,Low
1,63,0,0,0,10,31,Single,2,28.0,0.01,-1.91,8,7,5,High,Medium,Medium
1,33,0,0,0,2,21,Married,1,13.0,-1.84,-3.25,1,1,1,Low,Low,Low
1,27,1,1,2,15,18,Single,4,20.0,0.69,-0.9,3,10,9,Low,High,High
1,38,0,0,0,4,21,Single,1,16.0,-1.11,-2.7,2,2,2,Low,Low,Low
1,46,3,1,0,9,17,Married,2,21.0,-0.17,-2.41,4,6,3,Low,Medium,Low
1,22,0,0,1,1,18,Single,2,13.0,-0.62,-1.61,1,4,6,Low,Low,Medium
0,34,0,0,0,0,33,Married,1,11.0,-1.88,-3.31,1,1,1,Low,Low,Low
1,22,0,1,2,2,19,Single,4,20.0,0.84,-0.65,3,10,9,Low,High,High
1,29,0,0,0,4,20,Single,3,23.0,0.44,-1.8,5,9,5,Medium,High,Medium
1,62,0,0,0,0,59,Single,1,12.0,-1.98,-3.88,1,1,1,Low,Low,Low
1,27,0,1,0,6,19,Single,2,18.0,-0.25,-2.32,3,6,3,Low,Medium,Low
1,33,0,0,0,0,31,Single,1,11.0,-1.88,-3.24,1,1,1,Low,Low,Low
0,56,0,0,0,0,54,Divorced,1,13.0,-2.57,-4.15,1,1,1,Low,Low,Low
1,45,0,0,0,6,26,Single,1,13.0,-2.08,-3.55,1,1,1,Low,Low,Low
1,22,0,0,0,1,20,Single,2,14.0,-0.52,-1.59,1,4,6,Low,Low,Medium
0,31,0,0,0,2,30,Single,1,14.0,-1.2,-2.62,1,3,2,Low,Low,Low
1,34,0,0,0,0,31,Married,1,22.0,-0.56,-2.03,5,4,4,Medium,Low,Low
1,39,0,0,0,1,36,Single,1,16.0,-0.63,-2.87,2,4,2,Low,Low,Low
1,24,0,1,0,4,18,Single,2,14.0,-0.22,-2.03,1,6,4,Low,Medium,Low
1,29,0,0,0,5,24,Single,2,16.0,-0.24,-2.36,2,6,3,Low,Medium,Low
1,27,0,0,1,1,26,Single,2,18.0,-0.22,-2.31,3,6,3,Low,Medium,Low
1,41,0,0,0,0,41,Married,1,23.0,-1.31,-2.98,5,2,1,Medium,Low,Low
0,24,0,0,0,1,23,Single,1,12.0,-0.96,-2.61,1,4,2,Low,Low,Low
1,40,0,0,0,2,31,Single,1,18.0,-1.21,-3.27,3,2,1,Low,Low,Low
1,51,0,0,0,1,49,Single,1,24.0,-1.59,-3.66,6,1,1,Medium,Low,Low
1,22,0,0,0,1,20,Single,1,11.0,-0.91,-2.38,1,3,3,Low,Low,Low
1,22,0,0,0,0,19,Single,3,18.0,0.09,-1.56,3,8,6,Low,High,Medium
0,26,0,0,0,1,24,Single,1,16.0,-0.98,-2.32,2,4,3,Low,Low,Low
1,27,0,0,0,1,26,Single,3,19.0,-0.06,-1.2,3,7,8,Low,Medium,High
0,59,0,0,0,2,57,Single,1,15.0,-2.09,-4.2,1,1,1,Low,Low,Low
1,32,0,0,0,3,26,Married,1,17.0,-1.64,-2.47,2,1,3,Low,Low,Low
1,32,0,0,0,0,30,Significant Other,1,21.0,-1.36,-3.05,4,2,1,Low,Low,Low
1,41,0,0,0,1,21,Single,1,16.0,-1.02,-2.81,2,2,2,Low,Low,Low
1,50,0,0,0,0,48,Married,1,12.0,-2.53,-4.05,1,1,1,Low,Low,Low
1,30,0,0,0,8,19,Single,4,26.0,0.78,-0.74,7,10,9,Medium,High,High
1,66,0,0,0,0,61,Single,3,26.0,0.4,-2.52,7,9,3,Medium,High,Low
1,52,0,0,0,3,47,Married,1,29.0,-0.46,-3.24,8,5,1,High,Medium,Low
1,36,0,0,0,0,36,Divorced,2,29.0,-0.21,-1.79,8,6,5,High,Medium,Medium
1,22,0,0,0,3,19,Single,2,16.0,-0.19,-1.78,2,6,5,Low,Medium,Medium
1,50,0,0,0,0,49,Married,1,13.0,-1.64,-2.84,1,1,2,Low,Low,Low
1,25,1,6,1,14,18,Single,4,24.0,0.73,-0.25,6,10,10,Medium,High,High
0,44,0,0,0,0,44,Married,1,11.0,-2.33,-3.83,1,1,1,Low,Low,Low
1,20,0,0,0,0,18,Single,3,11.0,-0.33,-1.21,1,5,8,Low,Medium,High
1,22,1,0,0,2,18,Single,4,16.0,0.39,-0.57,2,9,10,Low,High,High
1,23,0,0,1,2,19,Single,3,21.0,0.14,-1.25,3,7,8,Low,Medium,High
1,54,0,0,0,6,24,Single,2,32.0,-0.22,-1.74,9,6,5,High,Medium,Medium
1,40,0,0,0,4,33,Divorced,1,16.0,-0.47,-1.99,2,5,4,Low,Medium,Low
1,25,0,0,0,10,20,Single,2,15.0,-0.07,-1.54,1,7,6,Low,Medium,Medium
0,35,0,0,0,1,33,Single,1,14.0,-1.53,-2.95,1,2,1,Low,Low,Low
1,36,0,0,0,9,22,Single,2,23.0,0.03,-1.54,5,7,6,Medium,Medium,Medium
1,26,0,0,0,7,21,Single,3,19.0,0.15,-2.15,3,8,4,Low,High,Low
1,21,0,0,0,1,19,Single,2,15.0,-0.21,-1.5,1,6,6,Low,Medium,Medium
0,28,0,0,0,0,28,Single,1,17.0,-1.28,-2.28,2,3,3,Low,Low,Low
1,30,0,0,1,6,21,Single,1,16.0,-0.32,-1.98,2,5,4,Low,Medium,Low
1,25,0,0,0,9,19,Single,4,17.0,0.21,-0.91,2,8,9,Low,High,High
1,71,0,0,0,12,46,Single,2,30.0,0.06,-2.51,8,7,3,High,Medium,Low
1,34,0,0,0,3,30,Single,1,27.0,-0.92,-2.89,7,3,2,Medium,Low,Low
0,20,0,0,0,0,18,Single,3,16.0,-0.23,-1.22,2,7,8,Low,Medium,High
1,39,0,0,0,2,33,Single,1,14.0,-1.53,-3.23,1,1,1,Low,Low,Low
1,66,0,0,0,3,58,Single,1,14.0,-2.07,-3.95,1,1,1,Low,Low,Low
0,54,0,0,0,0,51,Divorced,1,12.0,-2.36,-4.03,1,1,1,Low,Low,Low
1,28,0,0,0,0,28,Single,1,16.0,-0.54,-1.88,2,4,5,Low,Low,Medium
0,44,0,0,0,0,42,Married,1,12.0,-2.2,-3.71,1,1,1,Low,Low,Low
1,19,0,0,0,1,18,Single,2,13.0,-0.72,-1.45,1,4,7,Low,Low,Medium
1,24,0,0,0,1,22,Single,1,13.0,-1.16,-2.25,1,2,3,Low,Low,Low
1,30,0,0,0,1,28,Single,1,24.0,-1.09,-2.64,6,2,2,Medium,Low,Low
0,39,0,0,0,0,36,Married,1,16.0,-1.94,-3.41,2,1,1,Low,Low,Low
0,32,0,0,0,8,23,Single,1,18.0,-1.25,-3.03,3,3,1,Low,Low,Low
1,24,0,1,2,8,18,Single,2,23.0,-0.15,-1.52,5,6,6,Medium,Medium,Medium
1,30,0,0,0,0,28,Single,1,14.0,-0.66,-2.58,1,4,2,Low,Low,Low
1,31,0,0,0,0,30,Single,1,23.0,-0.51,-2.68,5,5,2,Medium,Medium,Low
0,39,0,0,0,1,34,Single,1,21.0,-0.96,-2.28,4,4,3,Low,Low,Low
1,59,0,0,0,14,21,Single,3,29.0,0.54,-2.18,8,9,4,High,High,Low
1,35,0,0,0,7,25,Single,2,22.0,-0.17,-2.4,5,6,3,Medium,Medium,Low
0,24,0,0,0,0,23,Married,1,18.0,-1.11,-2.21,3,3,4,Low,Low,Low
1,43,0,0,0,1,40,Single,1,23.0,-1.47,-3.34,5,1,1,Medium,Low,Low
1,21,1,0,1,2,18,Single,3,19.0,0.47,-1.68,3,9,6,Low,High,Medium
0,21,0,0,0,0,20,Single,1,12.0,-0.82,-2.05,1,4,4,Low,Low,Low
1,21,0,0,0,3,18,Single,3,15.0,0.43,-1.56,1,9,6,Low,High,Medium
1,27,0,0,0,0,26,Single,2,15.0,-0.09,-2.46,1,7,3,Low,Medium,Low
1,20,0,0,0,0,19,Single,3,19.0,0.13,-1.54,3,8,6,Low,High,Medium
1,38,0,0,0,5,32,Married,1,16.0,-0.55,-2.4,2,4,3,Low,Low,Low
1,27,0,0,0,3,19,Single,3,19.0,0.52,-2.06,3,9,4,Low,High,Low
1,34,0,0,0,0,31,Single,1,16.0,-0.34,-1.9,2,5,5,Low,Medium,Medium
1,30,0,0,0,3,24,Single,1,14.0,-0.89,-2.31,1,3,3,Low,Low,Low
1,33,0,0,0,5,19,Significant Other,1,14.0,-0.37,-2.63,1,5,2,Low,Medium,Low
1,37,0,0,0,3,35,Separated,1,14.0,-1.31,-3.3,1,2,1,Low,Low,Low
1,42,0,0,0,1,38,Significant Other,1,13.0,-1.04,-2.85,1,2,2,Low,Low,Low
1,41,0,1,0,10,19,Single,3,24.0,0.53,-1.36,6,9,7,Medium,High,Medium
1,22,0,0,0,0,20,Single,2,13.0,-0.58,-1.49,1,4,7,Low,Low,Medium
1,33,0,12,2,28,18,Divorced,3,27.0,0.28,-1.88,7,8,5,Medium,High,Medium
1,44,0,0,0,0,43,Single,1,16.0,-2.04,-3.43,2,1,1,Low,Low,Low
1,31,0,0,0,1,23,Single,3,25.0,-0.03,-1.2,6,7,8,Medium,Medium,High
1,26,0,0,0,9,19,Single,3,16.0,0.25,-1.32,2,8,7,Low,High,Medium
0,30,0,0,0,1,28,Single,1,14.0,-1.52,-2.85,1,2,2,Low,Low,Low
1,31,0,0,0,13,19,Single,3,21.0,0.71,-1.45,4,10,7,Low,High,Medium
1,27,0,0,0,3,18,Single,3,22.0,0.34,-2.12,5,9,4,Medium,High,Low
0,31,0,0,0,1,26,Single,1,13.0,-1.31,-2.77,1,2,2,Low,Low,Low
1,47,0,0,0,2,32,Single,1,18.0,-1.45,-3.38,3,1,1,Low,Low,Low
1,56,0,0,0,8,26,Single,3,32.0,0.43,-2.4,9,9,3,High,High,Low
1,33,0,0,0,2,31,Single,4,21.0,0.3,-1.21,4,8,8,Low,High,High
1,52,0,0,0,3,39,Single,3,26.0,0.39,-1.73,7,9,6,Medium,High,Medium
1,33,0,0,0,19,19,Single,3,23.0,1.08,-1.44,5,10,7,Medium,High,Medium
1,61,0,0,0,0,60,Single,1,31.0,-0.53,-3.1,9,4,1,High,Low,Low
0,64,0,0,0,2,61,Married,1,12.0,-2.36,-4.36,1,1,1,Low,Low,Low
1,22,0,0,0,4,19,Single,3,13.0,-0.25,-1.22,1,6,8,Low,Medium,High
1,42,0,0,0,6,19,Single,1,21.0,-0.86,-3.39,4,3,1,Low,Low,Low
0,25,0,0,0,2,23,Single,1,22.0,-0.82,-1.83,5,4,5,Medium,Low,Medium
1,27,0,0,0,0,25,Single,1,13.0,-1.39,-2.62,1,1,2,Low,Low,Low
1,30,0,0,0,1,28,Single,1,17.0,-1.26,-2.7,2,2,2,Low,Low,Low
1,23,0,0,0,0,23,Single,1,11.0,-1.1,-2.24,1,2,3,Low,Low,Low
1,28,0,0,0,2,26,Single,1,11.0,-1.39,-2.7,1,1,2,Low,Low,Low
0,37,0,0,0,2,37,Married,1,15.0,-1.32,-3.35,1,2,1,Low,Low,Low
1,21,0,0,0,1,20,Single,2,11.0,-0.51,-1.67,1,5,6,Low,Medium,Medium
1,28,0,0,0,0,27,Single,1,11.0,-1.11,-2.5,1,2,3,Low,Low,Low
0,24,0,0,0,0,22,Single,1,11.0,-1.45,-2.49,1,2,3,Low,Low,Low
1,37,0,0,0,13,19,Single,3,22.0,0.13,-1.49,5,8,7,Medium,High,Medium
1,22,0,0,0,0,20,Single,4,15.0,0.57,-1.0,1,9,8,Low,High,High
0,29,0,1,0,10,25,Single,1,13.0,-0.86,-2.66,1,4,2,Low,Low,Low
0,25,0,0,0,0,24,Single,1,13.0,-1.04,-2.31,1,3,3,Low,Low,Low
1,44,0,0,0,2,31,Married,1,17.0,-1.14,-2.95,2,2,1,Low,Low,Low
0,30,0,0,0,4,19,Single,1,14.0,-0.77,-1.91,1,5,5,Low,Medium,Medium
1,32,0,0,0,3,28,Single,2,25.0,-0.06,-2.51,6,7,3,Medium,Medium,Low
1,53,0,0,0,1,51,Married,1,15.0,-0.73,-3.51,1,4,1,Low,Low,Low
1,34,0,0,0,1,33,Married,1,17.0,-1.2,-3.32,2,2,1,Low,Low,Low
1,31,0,0,0,2,28,Single,1,12.0,-1.0,-2.54,1,3,3,Low,Low,Low
1,27,0,0,0,5,18,Single,4,31.0,1.04,-0.38,9,10,10,High,High,High
1,31,0,0,0,1,22,Married,1,14.0,-1.28,-2.29,1,2,3,Low,Low,Low
1,59,0,0,0,1,56,Single,1,13.0,-1.12,-3.38,1,2,1,Low,Low,Low
1,28,0,0,0,15,19,Single,4,21.0,1.08,-1.04,4,10,8,Low,High,High
0,45,0,0,0,4,37,Single,1,27.0,-0.88,-2.48,8,4,3,High,Low,Low
1,23,0,0,0,0,22,Single,1,13.0,-0.82,-2.3,1,3,3,Low,Low,Low
0,20,1,0,0,1,18,Single,4,16.0,0.91,-0.61,2,10,10,Low,High,High
1,42,0,0,0,2,40,Significant Other,1,17.0,-1.41,-3.63,2,1,1,Low,Low,Low
0,43,0,0,0,0,40,Married,1,16.0,-2.13,-3.71,2,1,1,Low,Low,Low
1,38,1,1,0,9,16,Single,3,21.0,0.21,-1.98,4,8,4,Low,High,Low
1,32,0,0,0,11,20,Single,2,21.0,-0.25,-1.86,4,6,5,Low,Medium,Medium
1,33,0,0,0,8,18,Single,1,23.0,-0.48,-2.65,5,5,2,Medium,Medium,Low
1,55,0,0,0,4,20,Single,3,21.0,0.18,-2.34,4,8,3,Low,High,Low
0,31,0,0,0,0,30,Single,1,11.0,-1.29,-2.93,1,3,2,Low,Low,Low
0,33,0,0,0,7,20,Single,4,29.0,0.21,-0.83,9,9,9,High,High,High
1,27,0,0,0,2,19,Single,4,17.0,0.56,-1.03,2,9,8,Low,High,High
1,52,0,0,0,0,51,Married,1,16.0,-1.86,-3.99,2,1,1,Low,Low,Low
0,20,0,0,0,0,18,Single,3,11.0,-0.48,-1.25,1,6,8,Low,Medium,High
0,26,0,0,0,0,25,Single,2,22.0,-0.57,-2.46,5,6,3,Medium,Medium,Low
1,25,0,0,0,4,19,Single,4,19.0,0.67,-0.31,3,10,10,Low,High,High
0,61,0,0,0,1,48,Significant Other,1,15.0,-1.68,-3.76,1,1,1,Low,Low,Low
1,52,0,0,0,13,47,Married,2,31.0,-0.06,-1.73,9,7,6,High,Medium,Medium
1,63,0,0,0,1,60,Single,1,18.0,-2.07,-3.8,3,1,1,Low,Low,Low
1,40,0,0,0,0,40,Single,1,15.0,-1.24,-3.24,1,2,1,Low,Low,Low
0,32,0,0,0,4,25,Single,4,31.0,0.57,-0.65,9,10,9,High,High,High
1,29,0,0,0,1,22,Single,1,13.0,-0.53,-1.99,1,4,4,Low,Low,Low
0,46,0,0,0,1,43,Married,1,18.0,-1.64,-3.46,3,2,1,Low,Low,Low
0,26,0,0,0,2,23,Single,1,16.0,-0.98,-2.17,2,4,4,Low,Low,Low
1,55,0,0,0,3,42,Single,1,18.0,-2.25,-3.99,3,1,1,Low,Low,Low
1,39,1,0,0,1,17,Single,1,18.0,-0.74,-2.11,3,4,4,Low,Low,Low
0,30,0,0,0,3,24,Single,2,21.0,-0.29,-2.06,4,7,4,Low,Medium,Low
1,30,0,0,0,1,23,Single,3,21.0,0.06,-1.19,4,7,8,Low,Medium,High
1,48,0,0,0,2,30,Single,1,16.0,-1.3,-3.29,2,2,1,Low,Low,Low
1,33,0,0,0,0,33,Married,1,13.0,-1.79,-3.23,1,1,1,Low,Low,Low
1,22,0,0,0,1,20,Single,1,12.0,-1.1,-2.07,1,2,4,Low,Low,Low
1,46,0,0,0,6,30,Single,1,13.0,-1.56,-3.08,1,1,1,Low,Low,Low
1,41,0,0,0,5,29,Single,3,41.0,0.62,-1.98,10,10,4,High,High,Low
0,49,0,0,0,6,41,Married,2,20.0,-0.57,-2.89,4,6,2,Low,Medium,Low
1,31,0,0,0,0,29,Single,1,18.0,-0.45,-2.07,3,5,4,Low,Medium,Low
1,31,0,0,0,0,30,Single,1,11.0,-1.46,-2.89,1,1,2,Low,Low,Low
1,25,0,0,0,1,22,Single,1,11.0,-1.07,-2.28,1,2,3,Low,Low,Low
1,31,0,0,0,3,25,Single,1,14.0,-0.9,-2.61,1,3,2,Low,Low,Low
0,21,0,0,0,0,20,Single,2,20.0,-0.48,-1.55,4,6,6,Low,Medium,Medium
1,23,0,0,0,0,21,Single,1,12.0,-0.85,-1.74,1,3,5,Low,Low,Medium
0,32,0,0,0,5,24,Single,2,23.0,-0.19,-2.5,6,7,3,Medium,Medium,Low
1,52,0,0,0,2,49,Married,1,13.0,-2.06,-3.98,1,1,1,Low,Low,Low
1,62,0,0,0,8,23,Single,1,24.0,-0.64,-3.07,6,4,1,Medium,Low,Low
1,30,0,0,0,2,28,Single,2,19.0,-0.24,-1.99,3,6,4,Low,Medium,Low
0,37,0,0,0,6,30,Single,3,33.0,0.51,-2.22,9,10,4,High,High,Low
1,55,0,0,0,1,53,Single,1,26.0,-2.03,-3.37,7,1,1,Medium,Low,Low
1,31,0,0,0,8,19,Single,3,21.0,0.45,-1.32,4,9,7,Low,High,Medium
1,28,0,0,0,6,20,Divorced,2,15.0,-0.3,-1.53,1,6,6,Low,Medium,Medium
1,54,0,0,0,2,47,Single,1,17.0,-1.8,-3.6,2,1,1,Low,Low,Low
1,58,0,0,0,0,55,Single,1,31.0,-1.3,-3.28,9,2,1,High,Low,Low
1,78,0,0,0,1,77,Married,1,13.0,-2.63,-4.32,1,1,1,Low,Low,Low
1,56,0,0,0,0,54,Divorced,1,19.0,-1.7,-3.69,3,1,1,Low,Low,Low
1,21,0,0,0,1,19,Single,4,16.0,1.17,-1.21,1,10,8,Low,High,High
1,24,0,0,0,0,22,Married,1,11.0,-1.11,-2.21,1,2,4,Low,Low,Low
1,38,2,2,1,22,17,Single,3,29.0,0.21,-1.97,8,8,5,High,High,Medium
1,39,0,0,0,3,20,Single,1,22.0,-0.5,-2.98,5,5,1,Medium,Medium,Low
1,35,0,0,0,0,33,Married,1,12.0,-1.46,-3.15,1,1,1,Low,Low,Low
1,22,0,0,0,1,19,Single,1,13.0,-0.44,-1.75,1,5,5,Low,Medium,Medium
1,21,0,0,0,0,21,Single,2,13.0,0.06,-1.56,1,7,6,Low,Medium,Medium
1,47,0,0,0,23,23,Single,3,19.0,0.13,-3.2,3,8,1,Low,High,Low
1,23,0,0,0,0,21,Single,1,18.0,-1.14,-2.16,3,2,4,Low,Low,Low
1,57,0,0,0,1,55,Divorced,1,20.0,-1.73,-3.93,3,1,1,Low,Low,Low
0,38,0,0,0,2,21,Single,1,21.0,-0.8,-2.8,4,5,2,Low,Medium,Low
1,66,0,0,0,3,52,Married,1,15.0,-1.48,-2.98,1,1,1,Low,Low,Low
1,45,0,0,0,8,31,Divorced,1,23.0,-0.73,-2.31,5,4,3,Medium,Low,Low
0,28,0,0,0,0,27,Single,1,16.0,-0.6,-2.6,2,5,2,Low,Medium,Low
1,45,0,0,0,2,44,Married,1,13.0,-2.22,-3.75,1,1,1,Low,Low,Low
0,52,0,0,0,0,52,Married,1,11.0,-1.25,-3.46,1,3,1,Low,Low,Low
1,32,0,0,0,13,20,Single,3,20.0,0.65,-1.48,3,10,7,Low,High,Medium
1,37,0,0,0,2,33,Single,4,30.0,0.46,-1.09,8,9,8,High,High,High
